section,sample_id,timepoint,time_order,conditioned_on,cell_state,comparison_type,n_bins,n_Fib_K14,n_cell_state,fixed_radius_um,cooccurrence_score,p_enrichment,fdr_within_17_FibK14_KC_SAC_states,n_permutations
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal_Prolif,cross-state,34538,2728,2,50.0,0.6728031759595527,0.699,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous,cross-state,34538,2728,3779,50.0,0.11858301326825227,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous_Mig,cross-state,34538,2728,1397,50.0,0.19975311731216186,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous_Mat,cross-state,34538,2728,2698,50.0,0.13313855118122167,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Granular,cross-state,34538,2728,521,50.0,0.09685145737312688,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Progenitor,cross-state,34538,2728,1006,50.0,0.027915885170377873,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Clear,cross-state,34538,2728,245,50.0,0.02060302342169437,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Dark,cross-state,34538,2728,4686,50.0,0.018519103492749975,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Ductal,cross-state,34538,2728,954,50.0,0.008579963189218383,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_IRS,cross-state,34538,2728,721,50.0,0.03238428059913321,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_ORS,cross-state,34538,2728,567,50.0,0.04679630057258983,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_HFSC,cross-state,34538,2728,78,50.0,0.00798105784056409,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_DP_DS,cross-state,34538,2728,67,50.0,0.027725405602728827,1.0,1.0,999
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_Matrix,cross-state,34538,2728,14,50.0,0.07800616532864381,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,Fib_K14,self,40440,4380,4380,50.0,1.9966190394671304,0.001,0.017,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Basal,cross-state,40440,4380,180,50.0,0.3514913755715161,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Basal_Mig,cross-state,40440,4380,16,50.0,0.3195051618601017,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Basal_Prolif,cross-state,40440,4380,4,50.0,0.8475761932677697,0.707,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Spinous,cross-state,40440,4380,2298,50.0,0.12378214938520636,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Spinous_Mig,cross-state,40440,4380,2845,50.0,0.16602199716935692,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Spinous_Mat,cross-state,40440,4380,379,50.0,0.26042600132169025,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Granular,cross-state,40440,4380,736,50.0,0.028730043743363975,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Progenitor,cross-state,40440,4380,2282,50.0,0.026334927444793686,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Clear,cross-state,40440,4380,262,50.0,0.014557873509471188,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Dark,cross-state,40440,4380,3781,50.0,0.014826405713138828,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_SG_Ductal,cross-state,40440,4380,746,50.0,0.02064374338543851,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_IRS,cross-state,40440,4380,819,50.0,0.022484520130900836,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_ORS,cross-state,40440,4380,931,50.0,0.029144027083294156,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_HFSC,cross-state,40440,4380,40,50.0,0.054682335049533536,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_DP_DS,cross-state,40440,4380,33,50.0,0.05056801948564752,1.0,1.0,999
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,3,Fib_K14,SAC_HF_Matrix,cross-state,40440,4380,16,50.0,0.03558337371153319,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,Fib_K14,self,47042,13313,13313,50.0,2.007888030192135,0.001,0.017,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Basal,cross-state,47042,13313,104,50.0,0.2593922515133153,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Basal_Mig,cross-state,47042,13313,13,50.0,0.19622631999836035,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Basal_Prolif,cross-state,47042,13313,1,50.0,0.9398207957816207,0.551,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Spinous,cross-state,47042,13313,2122,50.0,0.1323497951291617,1.0,1.0,999
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,3,Fib_K14,KC_Spinous_Mig,cross-state,47042,13313,3907,50.0,0.14531182096692535,1.0,1.0,999
