section,conditioned_on,cell_state,distance_coordinate_units,distance_um,cooccurrence_probability_ratio
26dpb_p2,Fib_K14,Endo_Arterial,2062.6567391585804,1031.3283695792902,1.1619658883659687
26dpb_p2,Fib_K14,Endo_Arterial,2255.700832833632,1127.850416416816,1.1219223547976984
26dpb_p2,Fib_K14,Endo_Arterial,2448.7449265086834,1224.3724632543417,1.1066662009723294
26dpb_p2,Fib_K14,Endo_Arterial,2641.789020183735,1320.8945100918675,1.10206966251072
26dpb_p2,Fib_K14,Endo_Arterial,2834.8331138587864,1417.4165569293932,1.0935224920101807
26dpb_p2,Fib_K14,Endo_Arterial,3027.877207533838,1513.938603766919,1.0840186057157788
26dpb_p2,Fib_K14,Endo_Arterial,3220.9213012088894,1610.4606506044447,1.0864812019856775
26dpb_p2,Fib_K14,Endo_Arterial,3413.965394883941,1706.9826974419705,1.0889499507043994
26dpb_p2,Fib_K14,Endo_Arterial,3607.0094885589924,1803.5047442794962,1.0824199571772883
26dpb_p2,Fib_K14,Endo_Arterial,3800.053582234044,1900.026791117022,1.0784483047773377
26dpb_p2,Fib_K14,Endo_Arterial,3993.0976759090954,1996.5488379545477,1.0780986383315334
26dpb_p2,Fib_K14,Endo_Arterial,4186.1417695841465,2093.0708847920732,1.0800664471989532
26dpb_p2,Fib_K14,Endo_Arterial,4379.185863259198,2189.592931629599,1.0737587984020127
26dpb_p2,Fib_K14,Endo_Arterial,4572.2299569342495,2286.1149784671247,1.0719261305147267
26dpb_p2,Fib_K14,Endo_Arterial,4765.274050609301,2382.6370253046507,1.0637742008103053
26dpb_p2,Fib_K14,Endo_Arterial,4958.3181442843525,2479.1590721421762,1.0619778454615922
26dpb_p2,Fib_K14,Endo_Arterial,5151.3622379594035,2575.6811189797018,1.0559457291352738
26dpb_p2,Fib_K14,Endo_Arterial,5344.4063316344555,2672.2031658172277,1.0485858449603633
26dpb_p2,Fib_K14,Endo_Arterial,5537.450425309507,2768.7252126547537,1.0441549689149847
