species,condition,sample,path,source_type,total_units,double_positive,double_positive_fraction,double_positive_percent,fib_marker,epi_marker,marker_source,classification_source,mapping_status
Rat,Rat embryo,YZ_3dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,10175,111,0.01090909090909091,1.0909090909090908,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_3dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,10675,104,0.009742388758782201,0.9742388758782201,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_7dpi_1,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,6449,67,0.010389207629089781,1.038920762908978,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Rat,Rat embryo,YZ_7dpi_2,F:\多组学分析skills\大鼠胚胎创面_成年大鼠创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,6031,59,0.009782788923893218,0.9782788923893219,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Reindeer,Reindeer back,GSM4244979_Sample_2_Day0_Back_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,8961,593,0.06617565003905813,6.617565003905814,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer back,GSM4244981_Sample_4_Day3_Back_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,6269,355,0.05662785133195087,5.662785133195087,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer back,GSM4244983_Sample_6_Day7_Back_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,3997,113,0.028271203402551914,2.8271203402551914,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer back,GSM4244985_Sample_8_Day14_Back_RNA,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,2731,214,0.07835957524716221,7.835957524716221,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer back,GSM4634038_R1_Ectopic_Back_scRNA_A1_filtered_feature_bc,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,1030,80,0.07766990291262135,7.766990291262136,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
Reindeer,Reindeer back,GSM5467008_5XD_B_ReindeerPBMCBack_bigmem_filtered_feature_bc,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad,scRNA,2742,0,0.0,0.0,PDGFRA,KRT14,X+X,flexible_fibroblast_plus_epithelial_marker_coexpression,flexible_marker_mapped
